QC,company_name,domain,Confidence Level,Vmware Detection,Firmo Status,keyword,company_url,AWS - Previous Detected Date,AWS - Last Detected Link,AWS - Last Detected Date,Remark,
Krishna,Integreon,https://www.integreon.com/,HIGH,VMware,Working,AWS,https://www.integreon.com/gen-ai-is-a-journey-not-a-sprint/,,,,,https://www.integreon.com/gen-ai-is-a-journey-not-a-sprint/
Krishna,Interarch Building Products Pvt Ltd,http://www.interarchbuildings.com/,HIGH,VMware,Working,AWS,https://www.interarchbuildings.com/pdf/Technical-Manual.pdf,,,,,https://www.interarchbuildings.com/pdf/Technical-Manual.pdf
Krishna,Intercloud Pty Ltd,http://www.intercloud.com/,HIGH,VMware,,AWS,https://www.intercloud.com/partners/aws,,,,,https://www.intercloud.com/partners/aws
Krishna,Intrasoft Technologies,http://www.itlindia.com/,,VMware,Working,AWS,https://www.itlindia.com/docs/Annual_Report_2021-2022.pdf,,,,,https://www.itlindia.com/docs/Annual_Report_2021-2022.pdf
Krishna,iOM PHILIPPINES INC,http://www.iom.int,HIGH,VMware,,IAM,https://www.iom.int/sites/g/files/tmzbdl486/files/rfp_for_mimosa_nextgen_-_phase_2_dec_2020.pdf,,,,,https://www.iom.int/sites/g/files/tmzbdl486/files/rfp_for_mimosa_nextgen_-_phase_2_dec_2020.pdf
Krishna,Iopex Technologies Private Limited,https://www.iopex.com/,HIGH,VMware,,AWS,https://www.iopex.com/case-studies/aws-cost-optimization-services,,,,,https://www.iopex.com/case-studies/aws-cost-optimization-services
Krishna,Iqvia,https://www.iqvia.com/,HIGH,VMware,Working,AWS cloud,https://www.iqvia.com/-/media/iqvia/pdfs/us/insight-briefs/2024/driving-data-replication-initiatives.pdf,,,,,https://www.iqvia.com/-/media/iqvia/pdfs/us/insight-briefs/2024/driving-data-replication-initiatives.pdf
Krishna,Iqvia,https://www.iqvia.com/,HIGH,VMware,,S3,https://www.iqvia.com/-/media/iqvia/pdfs/us/insight-briefs/2024/driving-data-replication-initiatives.pdf,,,,,https://www.iqvia.com/-/media/iqvia/pdfs/us/insight-briefs/2024/driving-data-replication-initiatives.pdf
Krishna,Isentia Brandtology Pte Ltd,http://www.isentia.com/,HIGH,VMware,Working,AWS,https://www.isentia.com/in-the-news/,,,,,https://www.isentia.com/in-the-news/
Krishna,It Convergence Singapore Pte Ltd.,http://www.itconvergence.com/,HIGH,VMware,,AWS,https://www.itconvergence.com/hybrid-cloud/,,,,,https://www.itconvergence.com/hybrid-cloud/
Krishna,IT Learning Solution Asia Pte Ltd,http://www.itls.io/,HIGH,VMware,Invalid Industry,Amazon EC2,https://www.itls.io/amazon-web-services,,,,,https://www.itls.io/amazon-web-services
Krishna,IT Learning Solution Asia Pte Ltd,http://www.itls.io/,HIGH,VMware,,AWS cloud,https://www.itls.io/amazon-web-services,,,,,https://www.itls.io/amazon-web-services
